feature,mean,scale
age,43.161178509532064,12.806835606088914
annual_income,826406.3547082611,675021.0775878109
tax_return_filed,0.8298671288272674,0.3757494874504221
late_filing_count,0.8321779318313114,0.899241508870105
outstanding_dues,8745.78278451762,26605.716198577353
previous_default_count,0.3561525129982669,0.6022929303643052
income_growth_rate,0.09289716926632005,0.15978788419455422
deduction_claim_ratio,0.2688526863084922,0.14499347070900476
transaction_count,20.291450028885038,15.86071784542461
total_transaction_value,14915.663994800694,21188.77779982723
average_transaction_value,732.8333131138071,812.6921510280894
transaction_anomaly_count,1.0103986135181975,1.25877918192986
transaction_anomaly_ratio,0.05009318265889915,0.07353341974281838
avg_anomaly_score,0.11893206853405366,0.024634677935270043
avg_location_risk_score,0.22254769317717277,0.042711700825203876
avg_device_risk_score,0.2001254267227503,0.03951226583635927
avg_transaction_frequency,4.002442798191907,0.5935197446741202
std_transaction_amount,1103.6529112975225,1730.722146798965
max_transaction_amount,4482.40240034662,7714.678308841607
